Time,Fixed_inj1,Net_Fixed_inj1,Fixed_inj2,Net_Fixed_inj2,Prod1,Net_Prod1,Prod2,Net_Prod2,Prod3,Net_Prod3,Prod4,Net_Prod4
106,581.1702663253545,113346.19807530823,196.22612234999528,64430.547337816904,235.8128832282488,65029.15467082131,307.35882573834994,73374.60657353139,329.19104878002656,75393.44112418561,392.1100432121753,50491.40809871094
107,362.2681466467682,113708.466221955,193.74228235182557,64624.28962016873,260.6342947900027,65289.78896561132,276.6279408044606,73651.23451433585,303.74762418062704,75697.18874836624,334.6083579404952,50826.016456651436
108,152.56540752088563,113861.03162947588,219.24382652896247,64843.53344669769,203.90073725937177,65493.68970287069,209.90984203270978,73861.14435636856,296.4424866744668,75993.63123504071,451.3755775044667,51277.392034155906
109,818.1848077222813,114679.21643719816,175.6772889247674,65019.21073562246,239.22574537397293,65732.91544824466,373.76372101587884,74234.90807738443,304.92219263763826,76298.55342767834,328.66746560284406,51606.05949975875
110,407.27316876525543,115086.48960596342,248.80780924458983,65268.018544867045,242.19690553430362,65975.11235377897,335.8939800002767,74570.8020573847,312.32196778584455,76610.87539546419,391.7269207214442,51997.78642048019
111,406.10240936682175,115492.59201533024,338.44899825675515,65606.4675431238,284.33833603646605,66259.45068981544,314.57727120514966,74885.37932858986,298.033720593781,76908.90911605797,278.45816520350553,52276.24458568369
112,387.46178906266624,115880.05380439291,215.91641383758665,65822.38395696139,244.04715797131595,66503.49784778676,262.5485638007521,75147.92789239061,282.46485794698043,77191.37397400495,335.8888648949376,52612.13345057863
113,307.4550742171885,116187.5088786101,256.0962728998619,66078.48022986125,224.09742199743894,66727.5952697842,200.01823127008097,75347.94612366069,276.01953586458984,77467.39350986954,365.3747759862181,52977.508226564845
114,588.9288666550561,116776.43774526515,279.93296549046363,66358.4131953517,289.32838090887793,67016.92365069308,308.07135924575897,75656.01748290645,312.58179083263616,77779.97530070218,343.77556946259693,53321.28379602744
115,193.5782915515384,116970.0160368167,149.86143678156884,66508.27463213328,225.95354980278674,67242.87720049586,252.24641218591793,75908.26389509237,268.6564090155136,78048.6317097177,266.2449876915446,53587.52878371898
